,0-0,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-150
1,44,4,5,5,15,24,21,45,77,100,144,246,440,688,842,1283,1960,2475,2856,3709
2,55,12,4,8,14,30,42,73,81,125,200,352,492,754,1023,1586,2290,2804,3184,4252
3,50,9,4,8,18,14,37,72,116,147,191,329,500,703,940,1423,2104,2511,2923,3705
4,56,5,5,8,11,20,38,63,80,141,181,346,483,641,882,1294,1884,2231,2583,3185
5,59,11,5,6,23,21,39,43,94,136,178,266,454,641,872,1137,1836,2156,2427,3008
6,45,4,5,13,14,21,41,54,95,115,151,288,424,607,802,1171,1721,1947,2306,2848
7,60,8,1,8,20,19,39,54,75,125,168,256,380,559,813,1096,1619,1936,2185,2610
8,55,11,2,10,20,20,34,60,94,148,156,295,418,536,780,1063,1597,1927,2130,2596
9,51,7,4,4,20,32,31,50,81,126,138,289,429,576,767,1078,1650,1911,2211,2594
10,41,10,6,9,18,31,35,56,103,115,160,262,387,525,703,1065,1531,1739,2150,2464
11,47,9,6,8,20,38,39,60,92,111,161,304,403,573,748,1154,1637,1925,2186,2612
12,41,13,7,4,23,30,32,59,82,124,171,283,426,532,775,1078,1581,1940,2149,2702
13,45,9,3,11,15,19,38,54,82,120,173,252,390,553,768,1038,1607,1776,2077,2554
14,45,6,5,7,11,17,30,61,79,94,128,223,342,463,670,904,1419,1619,1847,2119
15,42,10,4,6,15,21,31,40,70,99,135,227,371,471,664,948,1385,1549,1741,2149
16,58,7,3,6,23,24,33,62,67,112,159,290,415,614,756,1122,1718,2028,2193,2730
17,52,8,6,5,27,26,31,68,90,133,184,272,469,626,802,1118,1679,1849,2125,2582
18,44,6,5,7,21,17,35,59,72,96,150,238,384,484,650,858,1404,1623,1800,2190
19,34,7,3,4,17,27,41,54,74,104,172,232,358,502,682,947,1476,1581,1838,2214
20,62,6,7,10,27,22,26,51,105,107,167,286,372,577,751,1118,1585,1874,2040,2461
21,50,5,4,6,14,42,39,49,99,124,174,253,426,590,698,1075,1558,1738,1897,2270
22,46,8,4,5,22,20,29,50,73,83,115,226,353,420,566,853,1273,1403,1562,1728
23,50,4,3,9,24,32,33,50,80,119,158,267,398,531,678,1037,1576,1707,1962,2222
24,56,5,5,10,19,29,32,53,68,97,166,245,375,561,682,1070,1537,1611,1911,2168
25,50,4,5,6,13,29,33,63,84,119,171,269,438,528,687,968,1446,1623,1844,2092
26,43,9,5,9,20,19,42,52,74,118,150,253,382,537,689,1005,1483,1654,1756,2073
27,38,6,3,10,16,24,33,59,73,133,127,253,381,510,636,921,1418,1524,1656,1915
28,46,11,6,7,29,26,51,56,75,122,154,274,375,528,717,920,1391,1550,1651,2041
29,42,5,3,8,15,32,25,40,70,116,164,237,362,505,641,916,1327,1521,1669,1961
30,57,4,3,9,14,28,29,54,79,126,133,270,367,480,648,957,1340,1469,1686,1931
31,46,10,6,2,19,24,35,48,82,119,150,259,393,573,668,912,1420,1535,1811,1926
32,45,4,6,7,16,23,29,53,102,122,157,282,392,509,661,960,1366,1510,1732,2015
33,43,8,5,5,15,26,38,49,63,108,159,272,371,484,672,984,1402,1570,1767,2022
34,47,10,6,11,25,22,34,49,79,109,152,243,352,474,692,936,1418,1597,1758,2072
35,38,5,3,4,11,30,34,44,58,98,129,244,317,410,592,798,1155,1271,1454,1746
36,50,4,4,5,12,20,26,42,65,110,146,234,366,522,653,929,1416,1671,1765,2128
37,48,9,8,5,10,21,27,48,67,124,159,237,363,541,671,951,1428,1625,1851,2162
38,55,11,5,8,14,27,36,47,86,130,165,241,392,570,673,1016,1442,1559,1786,2121
39,53,9,6,10,14,31,39,48,73,115,137,260,365,485,686,879,1361,1533,1764,2111
40,53,4,3,10,14,27,32,50,75,109,141,272,357,491,641,940,1380,1591,1786,2127
41,50,8,3,6,21,36,38,64,84,115,171,250,403,514,708,948,1449,1608,1816,2252
42,55,11,8,9,16,23,25,52,77,110,175,255,384,503,669,985,1448,1571,1801,2211
43,49,13,8,10,15,20,30,48,76,116,126,268,370,548,618,937,1436,1652,1866,2239
44,43,4,6,9,14,29,35,48,57,116,159,261,352,540,674,986,1545,1715,1986,2404
