,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0-0,44,55,50,56,59,45,60,55,51,41,47,41,45,45,42,58,52,44,34,62,50,46,50,56,50,43,38,46,42,57,46,45,43,47,38,50,48,55,53,53,50,55,49,43
01-04,4,12,9,5,11,4,8,11,7,10,9,13,9,6,10,7,8,6,7,6,5,8,4,5,4,9,6,11,5,4,10,4,8,10,5,4,9,11,9,4,8,11,13,4
05-09,5,4,4,5,5,5,1,2,4,6,6,7,3,5,4,3,6,5,3,7,4,4,3,5,5,5,3,6,3,3,6,6,5,6,3,4,8,5,6,3,3,8,8,6
10-14,5,8,8,8,6,13,8,10,4,9,8,4,11,7,6,6,5,7,4,10,6,5,9,10,6,9,10,7,8,9,2,7,5,11,4,5,5,8,10,10,6,9,10,9
15-19,15,14,18,11,23,14,20,20,20,18,20,23,15,11,15,23,27,21,17,27,14,22,24,19,13,20,16,29,15,14,19,16,15,25,11,12,10,14,14,14,21,16,15,14
20-24,24,30,14,20,21,21,19,20,32,31,38,30,19,17,21,24,26,17,27,22,42,20,32,29,29,19,24,26,32,28,24,23,26,22,30,20,21,27,31,27,36,23,20,29
25-29,21,42,37,38,39,41,39,34,31,35,39,32,38,30,31,33,31,35,41,26,39,29,33,32,33,42,33,51,25,29,35,29,38,34,34,26,27,36,39,32,38,25,30,35
30-34,45,73,72,63,43,54,54,60,50,56,60,59,54,61,40,62,68,59,54,51,49,50,50,53,63,52,59,56,40,54,48,53,49,49,44,42,48,47,48,50,64,52,48,48
35-39,77,81,116,80,94,95,75,94,81,103,92,82,82,79,70,67,90,72,74,105,99,73,80,68,84,74,73,75,70,79,82,102,63,79,58,65,67,86,73,75,84,77,76,57
40-44,100,125,147,141,136,115,125,148,126,115,111,124,120,94,99,112,133,96,104,107,124,83,119,97,119,118,133,122,116,126,119,122,108,109,98,110,124,130,115,109,115,110,116,116
45-49,144,200,191,181,178,151,168,156,138,160,161,171,173,128,135,159,184,150,172,167,174,115,158,166,171,150,127,154,164,133,150,157,159,152,129,146,159,165,137,141,171,175,126,159
50-54,246,352,329,346,266,288,256,295,289,262,304,283,252,223,227,290,272,238,232,286,253,226,267,245,269,253,253,274,237,270,259,282,272,243,244,234,237,241,260,272,250,255,268,261
55-59,440,492,500,483,454,424,380,418,429,387,403,426,390,342,371,415,469,384,358,372,426,353,398,375,438,382,381,375,362,367,393,392,371,352,317,366,363,392,365,357,403,384,370,352
60-64,688,754,703,641,641,607,559,536,576,525,573,532,553,463,471,614,626,484,502,577,590,420,531,561,528,537,510,528,505,480,573,509,484,474,410,522,541,570,485,491,514,503,548,540
65-69,842,1023,940,882,872,802,813,780,767,703,748,775,768,670,664,756,802,650,682,751,698,566,678,682,687,689,636,717,641,648,668,661,672,692,592,653,671,673,686,641,708,669,618,674
70-74,1283,1586,1423,1294,1137,1171,1096,1063,1078,1065,1154,1078,1038,904,948,1122,1118,858,947,1118,1075,853,1037,1070,968,1005,921,920,916,957,912,960,984,936,798,929,951,1016,879,940,948,985,937,986
75-79,1960,2290,2104,1884,1836,1721,1619,1597,1650,1531,1637,1581,1607,1419,1385,1718,1679,1404,1476,1585,1558,1273,1576,1537,1446,1483,1418,1391,1327,1340,1420,1366,1402,1418,1155,1416,1428,1442,1361,1380,1449,1448,1436,1545
80-84,2475,2804,2511,2231,2156,1947,1936,1927,1911,1739,1925,1940,1776,1619,1549,2028,1849,1623,1581,1874,1738,1403,1707,1611,1623,1654,1524,1550,1521,1469,1535,1510,1570,1597,1271,1671,1625,1559,1533,1591,1608,1571,1652,1715
85-89,2856,3184,2923,2583,2427,2306,2185,2130,2211,2150,2186,2149,2077,1847,1741,2193,2125,1800,1838,2040,1897,1562,1962,1911,1844,1756,1656,1651,1669,1686,1811,1732,1767,1758,1454,1765,1851,1786,1764,1786,1816,1801,1866,1986
90-150,3709,4252,3705,3185,3008,2848,2610,2596,2594,2464,2612,2702,2554,2119,2149,2730,2582,2190,2214,2461,2270,1728,2222,2168,2092,2073,1915,2041,1961,1931,1926,2015,2022,2072,1746,2128,2162,2121,2111,2127,2252,2211,2239,2404
